pts_id,name,basket,cst_source,boundary_basis
Vin.I,Vinaya I (Mahāvagga),vinaya,vin02m2.mul.txt,1:1 (CST file = PTS volume)
Vin.II,Vinaya II (Cullavagga),vinaya,vin02m3.mul.txt,1:1 (CST file = PTS volume)
Vin.III,"Vinaya III (Suttavibhaṅga, Pārājika)",vinaya,vin01m.mul.txt,1:1 (CST file = PTS volume)
Vin.IV,"Vinaya IV (Suttavibhaṅga, Pācittiya)",vinaya,vin02m1.mul.txt,1:1 (CST file = PTS volume)
Vin.V,Vinaya V (Parivāra),vinaya,vin02m4.mul.txt,1:1 (CST file = PTS volume)
Abh.Dhs,Dhammasaṅgaṇī,abhidhamma,abh01m.mul.txt,1:1 (CST file = PTS volume)
Abh.Vbh,Vibhaṅga,abhidhamma,abh02m.mul.txt,1:1 (CST file = PTS volume)
Abh.Dhk,Dhātukathā,abhidhamma,abh03m1.mul.txt,1:1 (CST file = PTS volume)
Abh.Pug,Puggalapaññatti,abhidhamma,abh03m2.mul.txt,1:1 (CST file = PTS volume)
Abh.Kvu,Kathāvatthu,abhidhamma,abh03m3.mul.txt,1:1 (CST file = PTS volume)
Abh.Yam.I,Yamaka I (yamakas 1-7),abhidhamma,abh03m4+abh03m5,split before Cittayamaka (GRETIL Vol II start)
Abh.Yam.II,Yamaka II (yamakas 8-10),abhidhamma,abh03m5+abh03m6,Cittayamaka onward
Abh.Pat.Tika,Tikapaṭṭhāna,abhidhamma,abh03m7.mul.txt+abh03m8.mul.txt,CST major division; PTS sub-volume split PENDING expert review
Abh.Pat.Duka,Dukapaṭṭhāna,abhidhamma,abh03m9.mul.txt+abh03m10.mul.txt,CST major division; PTS sub-volume split PENDING expert review
Abh.Pat.Comb,"Paṭṭhāna (combined: tikatika, tikaduka, dukatika, dukaduka)",abhidhamma,abh03m11.mul.txt,CST major division; PTS sub-volume split PENDING expert review
an1.mul,an1.mul,sutta,raw-pts/an1.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
an2.mul,an2.mul,sutta,raw-pts/an2.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
an3.mul,an3.mul,sutta,raw-pts/an3.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
an4.mul,an4.mul,sutta,raw-pts/an4.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
an5.mul,an5.mul,sutta,raw-pts/an5.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
ap1.mul,ap1.mul,sutta,raw-pts/ap1.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
ap2.mul,ap2.mul,sutta,raw-pts/ap2.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
ja1.mul,ja1.mul,sutta,raw-pts/ja1.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
ja2.mul,ja2.mul,sutta,raw-pts/ja2.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
ja3.mul,ja3.mul,sutta,raw-pts/ja3.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
ja4.mul,ja4.mul,sutta,raw-pts/ja4.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
ja5.mul,ja5.mul,sutta,raw-pts/ja5.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
ja6.mul,ja6.mul,sutta,raw-pts/ja6.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
ps1.mul,ps1.mul,sutta,raw-pts/ps1.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
ps2.mul,ps2.mul,sutta,raw-pts/ps2.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
s0101m.mul,s0101m.mul,sutta,raw-pts/s0101m.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
s0102m.mul,s0102m.mul,sutta,raw-pts/s0102m.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
s0103m.mul,s0103m.mul,sutta,raw-pts/s0103m.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
s0201m.mul,s0201m.mul,sutta,raw-pts/s0201m.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
s0202m.mul,s0202m.mul,sutta,raw-pts/s0202m.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
s0203m.mul,s0203m.mul,sutta,raw-pts/s0203m.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
s0301m.mul,s0301m.mul,sutta,raw-pts/s0301m.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
s0302m.mul,s0302m.mul,sutta,raw-pts/s0302m.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
s0303m.mul,s0303m.mul,sutta,raw-pts/s0303m.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
s0304m.mul,s0304m.mul,sutta,raw-pts/s0304m.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
s0305m.mul,s0305m.mul,sutta,raw-pts/s0305m.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
s0501m.mul,s0501m.mul,sutta,raw-pts/s0501m.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
s0502m.mul,s0502m.mul,sutta,raw-pts/s0502m.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
s0503m.mul,s0503m.mul,sutta,raw-pts/s0503m.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
s0504m.mul,s0504m.mul,sutta,raw-pts/s0504m.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
s0505m.mul,s0505m.mul,sutta,raw-pts/s0505m.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
s0506m.mul,s0506m.mul,sutta,raw-pts/s0506m.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
s0507m.mul,s0507m.mul,sutta,raw-pts/s0507m.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
s0508m.mul,s0508m.mul,sutta,raw-pts/s0508m.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
s0509m.mul,s0509m.mul,sutta,raw-pts/s0509m.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
s0511m.mul,s0511m.mul,sutta,raw-pts/s0511m.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
s0512m.mul,s0512m.mul,sutta,raw-pts/s0512m.mul.txt,PTS-organized Sutta (from reorganise_pts.py)
