word,inferred_pos,count,sample_locations
"m","unknown",62,"DN:dn23; MN:mn41; MN:mn42; SN:sn29.3; SN:sn29.4"
"tipissa","unknown",55,"SN:sn22.47; SN:sn44.4; SN:sn44.5; SN:sn44.6"
"samāropano","unknown",36,"KN:ne2; KN:ne3; KN:ne19; KN:ne35; KN:pe1"
"tan","unknown",29,"MN:mn70; SN:sn4.25; KN:cnd5; KN:cnd7; KN:cnd8"
"abhisamparāyañcā","unknown",27,"AN:an10.119; AN:an10.120; AN:an10.167; AN:an10.168; AN:an2.11-20"
"otaraṇo","unknown",26,"KN:ne2; KN:ne3; KN:ne15; KN:ne31; KN:pe1"
"ayokhilaṃ","unknown",25,"MN:mn129; MN:mn130; AN:an3.36; KN:cnd23; KN:mnd15"
"vevacano","unknown",23,"KN:ne2; KN:ne3; KN:ne13; KN:ne29; KN:pe1"
"iccā","unknown",22,"KN:cnd5; KN:cnd6; KN:cnd7; KN:cnd9; KN:cnd10"
"visajjanā","unknown",16,"KN:mil1; KN:ne5; KN:pe5; KN:pe8"
"man","unknown",12,"MN:mn66; SN:sn1.15; SN:sn9.12; KN:pv23; KN:pv24"
"abhivadanaṃ","unknown",12,"KN:cnd15; KN:cnd17; KN:mnd15"
"khīḷito","unknown",12,"KN:mil5.4.2; KN:mil5.5.9; KN:mil6.3.2"
"yamalokikā","unknown",11,"KN:pv6; KN:pv7; KN:pv13; KN:pv27; KN:pv31"
"haṃcivagga","unknown",10,"KN:ja111; KN:ja112; KN:ja113; KN:ja114; KN:ja115"
"nekāsī","unknown",10,"KN:ja470; KN:ja535"
"mandālakehi","noun (inst pl)",10,"KN:ja494; KN:ja539; KN:ja546; KN:ja547; KN:tha-ap3"
"akkusaloti","verb (present 3sg)",10,"KN:mnd12; KN:snp4.12"
"sereyyavagga","unknown",10,"KN:tha-ap123; KN:tha-ap124; KN:tha-ap125; KN:tha-ap126; KN:tha-ap127"
"tuvaradāyakavagga","unknown",10,"KN:tha-ap243; KN:tha-ap244; KN:tha-ap245; KN:tha-ap246; KN:tha-ap247"
"thomakavagga","unknown",10,"KN:tha-ap253; KN:tha-ap254; KN:tha-ap255; KN:tha-ap256; KN:tha-ap257"
"sālakusumiyavagga","unknown",10,"KN:tha-ap463; KN:tha-ap464; KN:tha-ap465; KN:tha-ap466; KN:tha-ap467"
"varākiyā","unknown",9,"KN:ja485; KN:ja547; KN:thi-ap26; KN:vv20"
"aḷārapamhā","unknown",9,"KN:ja547; KN:tha-ap3; KN:tha-ap8; KN:tha-ap24; KN:tha-ap393"
