word	category	inferred_pos	total_count	dn_count	mn_count	sn_count	an_count	kn_count	nikaya_count	text_count	all_texts	sample_context	dpd_feedback
passasaṃ	sandhi_ending		6	0	0	0	0	6	0	1	KN:ps1.3	nibbidāñāṇaṃ, aniccānupassī passasaṃ yathābhūtaṃ jānāti passatīti—	
patikuṭentā	metrical_variant		5	0	0	0	0	5	0	1	KN:mnd6	…tato tato cittaṃ patilīnentā patikuṭentā pativaṭṭentā sanniruddhantā s…	
abhibhuyyitvā	metrical_variant	particle (possible sandhi)	4	0	0	0	0	4	0	1	KN:ps1.1	Uppādaṃ abhibhuyyitvā anuppādaṃ pakkhandatīti—	
accantasanti	potential_headword	verb (present 3pl)	4	0	0	0	0	4	0	1	KN:mnd3	accantasanti, tadaṅgasanti, sammutisanti.	
apakaḍḍhitabbā	metrical_variant		4	0	0	0	0	4	0	1	KN:pe4	Tattha akusalā dhammā apakaḍḍhitabbā vīmaṃsitabbā, saṅkilesabhāgiy…	
atikkamīyati	potential_headword	verb (present 3sg)	4	0	0	0	0	4	0	1	KN:mnd11	…ssa rūpaṃ vibhoti vibhāvīyati atikkamīyati samatikkamīyati vītivattīyatī…	
bilaggāho	potential_headword		4	0	0	0	0	4	0	4	KN:mnd13; KN:mnd3; KN:mnd5; KN:mnd9	…ahītanti nivesanesu odhiggāho bilaggāho varaggāho koṭṭhāsaggāho uccay…	
buddhamabhikittayiṃ	sandhi_ending		4	0	0	0	0	4	0	4	KN:tha-ap320; KN:tha-ap471; KN:tha-ap489; KN:tha-ap549	yaṃ buddhamabhikittayiṃ;	
byathitā	metrical_variant		4	0	0	0	0	4	0	3	KN:ja537; KN:ja542; KN:ja547	“Chiddaṃ te raṭṭhaṃ byathitā bhayā hi,	
cakkavākīva	potential_headword	particle (possible sandhi)	4	0	0	0	0	4	0	2	KN:ja543; KN:ja547	Sā nūna cakkavākīva,	
cityā	metrical_variant		4	0	0	0	0	4	0	1	KN:ja543	Cityā katā yaññakarehi māhu.	
desanāvatthukan	sandhi_ending		4	0	0	0	0	4	0	1	KN:mil5.4.3	…attiṃ āpajjati ekassa santike desanāvatthukan’ti.	
dīpāni	potential_headword		4	0	0	0	0	4	0	2	KN:thi-ap15; KN:thi-ap9	pañca dīpāni pajjaluṃ;	
elambujaṃ	sandhi_ending		4	0	0	0	0	4	0	1	KN:mnd9	Elambujaṃ kaṇḍakavārijaṃ yathā,	
khomakoṭumbarāni	potential_headword		4	0	0	0	0	4	0	2	KN:ja539; KN:ja547	khomakoṭumbarāni ca;	
kurarī	metrical_variant		4	0	0	0	0	4	0	2	KN:ja543; KN:ja547	Kurarī hatachāpāva,	
maddanipaññāti	potential_headword		4	0	0	0	0	4	0	1	KN:ps3.1	Rāgo ari taṃ ariṃ maddanipaññāti—bhūripaññā.	
matthiko	potential_headword		4	0	0	0	0	4	0	3	KN:ja529; KN:ja531; KN:ja538	nāhaṃ rajjena matthiko.	
mayhete	potential_headword		4	0	0	0	0	4	0	1	KN:mil5.2.7	…e sattā, na ca mahāpathaviyā ‘mayhete’ti apekkhā hoti;	
māgamā	metrical_variant		4	0	0	0	0	4	0	3	KN:ja343; KN:ja437; KN:ja528	vasa kuntini māgamā”.	
mākaṅkhi	potential_headword		4	0	0	0	0	4	0	1	KN:ja501	Gaccha tuvampi mākaṅkhi,	
nisīdayī	metrical_variant		4	0	0	0	0	4	0	2	KN:ja524; KN:ja546	Nisīdayī pāmukhaāsanasmiṃ;	
